_id,positive_review
ObjectId("5e6e1829585dbf3baf684fce"),بسيطة وبديهية. يقوم بتشغيل محتوى أمازون ، Netflix ، وأقوم أيضًا بتشغيل plex منه. منتج رائع سهل الاستخدام.
ObjectId("5e6e182d585dbf3baf684fcf"),رائع للطبخ أو البكتيريا الجرثومية في حياتك ... حر اليدين ... ممتعة للغاية ومفيدة .. موسيقى رائعة
ObjectId("5e6e1831585dbf3baf684fd0"),يعجبني حجم الجهاز بالإضافة إلى التخزين القابل للتوسيع
ObjectId("5e6e1835585dbf3baf684fd1"),كان موظفو المبيعات مفيدة يجب أن يكون كابل تحكم أطول
ObjectId("5e6e1839585dbf3baf684fd2"),وقت الفراغ في أمازون رائع للأطفال الصغار للترفيه
ObjectId("5e6e183c585dbf3baf684fd3"),عظيم! أنا بالتأكيد سوف تشتري مرة أخرى! أستخدم هذا كثيرًا.
ObjectId("5e6e1840585dbf3baf684fd4"),سعداء بهم ...
ObjectId("5e6e1844585dbf3baf684fd5"),منتج مثالي لكبار السن الذي يريد فقط القيام ببعض التسوق عبر الإنترنت وتلقي وإرسال رسائل البريد الإلكتروني. شاشة ذات حجم جميل وسهلة الاستخدام. هدية رائعة لاستثمار أقل بكثير من جهاز iPad أو كمبيوتر محمول.
ObjectId("5e6e1849585dbf3baf684fd6"),ذهبت لشراء عصا النار في Best buy حيث تم إعادة توصيتي بها ونفدت من المخزون بسبب إضافة المستلم وشعبية المنتج. قرأت بعض المراجعات وقررت شراء منتج رائع لتلفزيون Fire سهل الإعداد واستخدام alexia وهو لطيف ولديه مساحة تخزين أكبر.سأوصي بهذا المنتج.
ObjectId("5e6e184d585dbf3baf684fd7"),أستمتع حقًا باستخدام جهاز Amazon Fire الخاص بي ، وهو سهل الاستخدام للغاية ، والعديد من الميزات والتطبيقات المختلفة ، فالرسومات والألوان على هذا الجهاز اللوحي حية ونابضة بالحياة اشتريت هذا الجهاز اللوحي للبيع ولا أعلم شيئًا عن Amazon Fire ولكني سعيد لأنني فعلت !!!
ObjectId("5e6e1851585dbf3baf684fd8"),ميزات HD رائعة. يجعل من السهل السفر معه والتنقل ومشاهدة جميع عروضك.
ObjectId("5e6e1854585dbf3baf684fd9"),بالضبط ما كنت أتوقعه
ObjectId("5e6e1858585dbf3baf684fda"),يحب ابني الألعاب التعليمية التي تم تنزيلها
ObjectId("5e6e185c585dbf3baf684fdb"),منتج رائع ، أوصي به سهل الاستخدام وسريع.
ObjectId("5e6e1860585dbf3baf684fdc"),اشتريت 2 من أقراص Kindle 7 لأحفادنا. لقد فوجئت بسرور من جودة الأجهزة اللوحية بالنظر إلى السعر. كان الأحفاد يتجهون دائمًا إلى Kindle عندما يأتون ، الآن بعد أن لديهم خاص بهم ، لا يطلبون مني أبداً. يستخدمونها باستمرار ، في الغالب للعب الألعاب ولكنهم أيضًا يبثون مقاطع الفيديو ، وحتى يستخدمونها للمساعدة في العمل المدرسي. لقد كانت صفقة رائعة
ObjectId("5e6e1865585dbf3baf684fdd"),لقد أُصبت بالنار عندما كنت أتعافى من جراحة العمود الفقري قبل بضع سنوات. استخدمته لكل شيء لبعض الوقت. يحتوي هذا الجهاز على كاميرا ويقوم بتشغيل أحدث الملفات. لا يزال لدي واستخدام القديم أيضا. نظام توصيل محتوى ممتاز. لقد حصلت عليه مع أموال تقدير أفضل شراء العملاء ... يا لها من صفقة!
ObjectId("5e6e1868585dbf3baf684fde"),أحب هذا المنتج ... صوت جيد وسهل الاستخدام !!
ObjectId("5e6e186c585dbf3baf684fdf"),يعمل هذا الجهاز اللوحي تمامًا مثل الاسم الكبير بنصف السعر
ObjectId("5e6e1870585dbf3baf684fe0"),أردنا أنا وزوجتي أن يظل أطفالنا يستمتعون بالشعور بوجود "iPad" ، لذا حصلنا على إصدار Amazon Fire Kids. لقد كان رائع أحب الطريقة التي يمكنك من خلالها وضع حدود على الجهاز اللوحي حتى لا يلتصق بها طوال اليوم. وضع الأطفال مفيد للغاية.
ObjectId("5e6e1874585dbf3baf684fe1"),أحببت Fire HD7 ولكن أحدث HD8 أكثر حدة وأسرع ولا يزال يتعامل بشكل رائع.
ObjectId("5e6e1878585dbf3baf684fe2"),دائما معجب كبير من كيندل. هذا هو الثالث لي للشراء. لماذا قد تسأل الكثير؟ لا يمكنني استخدامها مطلقًا لأن كل شخص آخر في العائلة يمسك بها. عظيم لتصفح وقراءة الكتب.
ObjectId("5e6e187b585dbf3baf684fe3"),Amazon Fire TV هو الأفضل على الإطلاق ، إنه جيد
ObjectId("5e6e187f585dbf3baf684fe4"),انا احبهم جميعا أوصي بالذهاب إلى Best Buy وشراء حريق أوقد قبل بيعها!
ObjectId("5e6e1884585dbf3baf684fe5"),تمت ترقيته إلى هذا من Fire TV Stick ، فهو أقوى مرتين من العصا. لقد أعجبتني كثيرًا وحصلت على 3 من زملائي في العمل عليهم وهم يحبونه. رائعة للسفر وغرفة النوم وعدم الدفع على صناديق الكابلات / الأقمار الصناعية الإضافية و vig الشهرية الخاصة بهم.
ObjectId("5e6e1888585dbf3baf684fe6"),لم تستخدم المنتج. كان هذا العنصر هدية ولم أتلق بعد كلمة عن المنتج.
ObjectId("5e6e188b585dbf3baf684fe7"),بطاريات رائعة
ObjectId("5e6e188f585dbf3baf684fe8"),سعر جيد لهذه البطاريات
ObjectId("5e6e1893585dbf3baf684fe9"),اشتريت هذا لزوجتي بعد أن بدأت تعاني من الصداع من فعل Facebook والبريد الإلكتروني على جهاز iPhone الخاص بها. تجعل الشاشة الكبيرة من السهل استخدامها لفترة طويلة من الزمن.
ObjectId("5e6e1897585dbf3baf684fea"),الأجهزة اللوحية جيدة في الاستخدام ومثل التصميم المريح للاستخدام
ObjectId("5e6e189a585dbf3baf684feb"),اشتريت هذا لأطفالي للعب عليه. يملأ هذا الجانب بشكل رائع ولكن البطارية قد تستمر لساعتين من الاستخدام المتواصل.
ObjectId("5e6e189f585dbf3baf684fec"),الأمازون - Fire HD 8 - 8 "- الجهاز اللوحي - تم تسليم 32 جيجابايت بسرعة ، وكان الإعداد سهلاً حيث لدينا بالفعل Kindle Fire آخر ، والوحدة رائعة لاستخدامنا (تصفح الويب ، YouTube ، مقاطع الفيديو). الوحدة هي سريع ، الشاشة واضحة جدًا ، والبطارية جيدة.
ObjectId("5e6e18a2585dbf3baf684fed"),رائع للأطفال. حفيدي (5 سنوات) سعيد للغاية به
ObjectId("5e6e18a6585dbf3baf684fee"),أكثر تعقيدًا من أوقدتي الأصلية ، لكني أحبها.
ObjectId("5e6e18ad585dbf3baf684fef"),اشتريت هذا لنفسي يوم الجمعة السوداء وأنا سعيد للغاية. بالنسبة إلى الكمبيوتر اللوحي FIFTY DOLLAR ، فإنه يحتوي على شاشة عرض رائعة وعمر بطارية. قدراته أقل من العديد من متطلبات النظام للتطبيقات والألعاب مما يعني أنها قد لا تعمل على الإطلاق أو إذا كانت تعمل بشكل سيئ. هذا جيد لاحتياجاتي لأن التطبيقات / الألعاب ليست هي تركيزي. إذا كنت تشتري جهازًا لوحيًا للألعاب / التطبيقات ، فإنني أوصيك بالنظر إلى أجهزة Amazon اللوحية وما بعدها إلى أجهزة Android اللوحية أو أجهزة iPad الكاملة لأن متجر google play ومتجر تطبيقات Apple به الكثير من الخيارات. في هذه الحالة ، من الجدير بالتأكيد إنفاق المزيد على إمكانات الجهاز اللوحي. أنا أستخدم جهاز لوحي amazon fire 7 "للقراءة والبحث على الإنترنت والتسوق من أمازون ومشاهدة الأفلام من بطاقة sd. وهو يعمل بشكل رائع لاحتياجاتي. مستوى الصوت على ما يرام ولديه بلوتوث ، لذا فإن سماعات الأذن التي أستخدمها تعمل بالبلوتوث متصلة بها معظم الوقت. إنه الحجم والوزن المثاليان ولا يشعران بـ "الميزانية". ملاحظة: الشاشات غير المرئية لهذا الجهاز اللوحي هي SUCH A PAIN لتثبيتها ولا أعتقد أنها تستحق ذلك. إذا كنت ترغب في حماية الشاشة ، فإنني أوصي بالذهاب مع حافظة أمازون ، فهي ذات نوعية جيدة للغاية ، وينقلب غطاء الغطاء إلى حماية الشاشة عندما لا تستخدمها ، وجهة نظري ، إذا كنت تعرف ما تحصل عليه ولا بأس بذلك ، فستقدر حقًا هذا الجهاز اللوحي.
ObjectId("5e6e18b1585dbf3baf684ff0"),لقد كانت عملية شراء رائعة. اشتريت 2 في غضون شهر واحد.
ObjectId("5e6e18b4585dbf3baf684ff1"),هذا بالضبط ما يقوله. سعيد حقا معها.
ObjectId("5e6e18b8585dbf3baf684ff2"),اشترى هذا لابنتي ، إنها تحبه. يعمل بشكل رائع. لقد أسقطتها عدة مرات وتستمر في العمل! لا توجد قضايا على الإطلاق.
ObjectId("5e6e18bc585dbf3baf684ff3"),مثالي لما يستخدمه عمري البالغ من العمر 8 سنوات. مشاهدة البرامج وممارسة الألعاب التعليمية.
ObjectId("5e6e18c0585dbf3baf684ff4"),هدية لشبابنا وهم يحبونها. لا حاجة لراديو منبه ضخم بعد الآن.
ObjectId("5e6e18c3585dbf3baf684ff5"),لا أعتقد أنني سأعود إلى كوستكو لشراء البطاريات. السعر رائع للكمية وتستمر طالما اسم بطاريات العلامة التجارية.
ObjectId("5e6e18c7585dbf3baf684ff6"),في احسن الاحوال!
ObjectId("5e6e18cb585dbf3baf684ff7"),كانت هذه هدية عيد ميلاد لي الصغيرة واحببتها!
ObjectId("5e6e18cf585dbf3baf684ff8"),هذا رائع للمال لكنه لن يسمح لك باستخدام Spotify ؟؟
ObjectId("5e6e18d2585dbf3baf684ff9"),لم أكن أعرض الضمان ، لكنني أستمتع به كثيرًا.
ObjectId("5e6e18d6585dbf3baf684ffa"),يحتوي هذا الجهاز اللوحي على كل ما أريده ولا يزال لديه مساحة لاجتياز الشبكة بسرعة.
ObjectId("5e6e18d9585dbf3baf684ffb"),جودة ممتازة
ObjectId("5e6e18dd585dbf3baf684ffc"),هذا سهل الاستخدام ويفعل ما كنت أتمناه بالضبط.
ObjectId("5e6e18e1585dbf3baf684ffd"),كنت أبحث عن شيء للقراءة وهذا يناسب الفاتورة بالسعر المناسب ، وضوح الشاشة الرائع ، تعديل جيد أيضًا. يعمل بشكل جيد وعمر البطارية رائع. الحجم جميل جدا. كبيرة بما يكفي ليد واحدة إذا لزم الأمر.
ObjectId("5e6e18e5585dbf3baf684ffe"),قراءة الكتب والأشياء على هذا أسهل من قراءة هاتفي. كان هناك أيضًا بطاقة SD صغيرة مستلقية لتوسيع التخزين.
ObjectId("5e6e18e9585dbf3baf684fff"),هذا أول جهاز لوحي. حتى الآن ، أنا مسرور بجهاز Fire Tablet الخاص بي. أنا لست لاعبًا ، أقوم بإجراء عمليات بحث أساسية على الإنترنت والتحقق من البريد الإلكتروني. أسهل بسبب الحجم ، من استخدام هاتفي الذكي. لا توجد مشاكل أو قضايا حتى هذه اللحظة.
ObjectId("5e6e18ed585dbf3baf685000"),وظيفة Amazon MayDay غير متاحة وهذا لم يكن متوقعًا. الخدمات والوظائف الأخرى كما هو متوقع
ObjectId("5e6e18f1585dbf3baf685001"),أحفادي يلعبون على أصغر مني. أعتقد أنه من الأفضل الحصول على دعم لي.
ObjectId("5e6e18f5585dbf3baf685002"),كنت بحاجة إلى استبدال ورقة كيندل القديمة الخاصة بي. أنا أحب الجديد ، وأستخدمه بانتظام على الشاطئ.
ObjectId("5e6e18f9585dbf3baf685003"),حفيدتي البالغة من العمر عامين تحمل جهازها اللوحي في كل مكان. تحب ذلك.
ObjectId("5e6e18fc585dbf3baf685004"),AAA +++
ObjectId("5e6e1900585dbf3baf685005"),هم يعملون! يستمر أيضًا لفترة جيدة من الوقت!
ObjectId("5e6e1903585dbf3baf685006"),إنه يحتوي على كل ما أحتاج إليه ، وهو منتج رائع بسعر منخفض!
ObjectId("5e6e1908585dbf3baf685007"),لا يمكن أن يكون أكثر سعادة مع هذا الشراء. يعمل زر الأمر المنشط بالصوت على جهاز التحكم عن بعد بشكل رائع. إذا لم يكن لديك تلفزيون ذكي ، أوصي بشدة بهذا الجهاز. يتم التخزين المؤقت لمدة 5 ثوانٍ تقريبًا لبدء العرض ثم عرضه بشكل مثالي.
ObjectId("5e6e190b585dbf3baf685008"),هذا منتج رائع وأود أن أوصي به لأي شخص يستمتع بالقراءة.
ObjectId("5e6e1910585dbf3baf685009"),اشتريت هذا الجهاز اللوحي لأمي لعيد الميلاد. كان معروضًا للبيع ، ولكن بالفعل بسعر رخيص في البداية. إنها سعيدة للغاية مع هديتي. إنها قادرة على قراءة الألعاب وتشغيلها على جهاز لوحي بسرعة كبيرة. قد أشتري حتى بلدي!
ObjectId("5e6e1914585dbf3baf68500a"),ابني يحبه وهو سهل الاستخدام ولديه ضوابط أبوية لذلك لا يمكنه شراء الأشياء بدون إذن
